Dmax,I0_real,I0_real_err,I0_recip,Rg_autorg,Rg_real,Rg_real_err,Rg_recip,estimate,file,status
5.61,0.0521,0.0001108,0.05044,1.102,3.873,0.003196,5.252,0.2917,sample_1R3l0000-integrate_subtracted.dat,ok
13.66,9.974,0.1479,9.974,2.27563,4.7,0.08231,4.687,0.5698,sample_1_00000-integrate_subtracted.dat,ok
83.82,376.6,30.22,376.6,14.2676,19.59,2.314,19.45,0.6932,sample_1_0pt50000-integrate_subtracted.dat,ok
55.13,356.3,4.985,356.2,14.496,16.81,0.1929,16.64,0.6793,sample_1_10000-integrate_subtracted.dat,ok
92.45,410.8,45.77,410.8,16.4351,18.68,5.291,18.58,0.6799,sample_1_100000-integrate_subtracted.dat,ok
66.62,295.2,7.312,295.2,14.2851,18.16,0.4616,18.0,0.6411,sample_1_150000-integrate_subtracted.dat,ok
73.79,477.4,13.53,477.3,16.0896,19.76,0.5475,19.59,0.6725,sample_1_20000-integrate_subtracted.dat,ok
56.96,408.6,4.372,408.5,14.378,17.38,0.1521,17.25,0.5182,sample_1_200000-integrate_subtracted.dat,ok
54.87,199.0,3.15,199.0,9.6078,14.35,0.2873,14.15,0.6332,sample_1_250000-integrate_subtracted.dat,ok
47.02,378.2,3.214,378.2,15.3528,15.46,0.09014,15.35,0.7342,sample_1_30000-integrate_subtracted.dat,ok
76.9,458.1,12.56,458.0,14.5415,20.23,0.5345,20.03,0.6657,sample_1_300000-integrate_subtracted.dat,ok
93.97,353.5,44.88,353.5,17.526,20.39,4.24,20.22,0.6757,sample_1_40000-integrate_subtracted.dat,ok
53.7,405.5,6.529,405.5,13.8719,17.03,0.196,16.9,0.7374,sample_1_400000-integrate_subtracted.dat,ok
55.01,369.6,4.526,369.5,14.6108,16.91,0.1643,16.74,0.6646,sample_1_50000-integrate_subtracted.dat,ok
52.35,415.5,6.319,415.4,14.6447,16.42,0.1937,16.29,0.7069,sample_1_500000-integrate_subtracted.dat,ok
83.95,505.5,15.62,505.4,14.9236,20.78,0.6912,20.64,0.669,sample_1_600000-integrate_subtracted.dat,ok
18.16,76.15,0.6022,76.15,6.73575,6.113,0.03728,6.106,0.8052,sample_1_Tau_0PEG_0NaCl0000-integrate_subtracted.dat,ok
4.54,0.01722,7.773e-05,0.01744,1.63758,3.258,0.005946,6.521,0.2924,sample_1j0000-integrate_subtracted.dat,ok
7.54,52.47,0.1843,52.47,1.82248,2.247,0.01364,2.243,0.589,sample_20000-integrate_subtracted.dat,ok
18.96,812.4,2.803,812.4,6.71809,6.46,0.01893,6.462,0.7878,sample_20S_AmnSul0000-integrate_subtracted.dat,ok
22.41,427.5,1.819,427.5,7.05023,6.823,0.03412,6.809,0.8581,sample_20S_AmnSul_20000-integrate_subtracted.dat,ok
,,,,,,,,,sample_20min0000-integrate_subtracted.dat,autorg_failed
6.14,95.23,0.1884,95.23,2.02656,1.994,0.004869,1.994,0.8132,sample_240_2_1pt50000-integrate_subtracted.dat,ok
,,,,,,,,,sample_25min0000-integrate_subtracted.dat,autorg_failed
14.4,15.82,0.9221,15.82,2.39866,2.839,0.5781,2.833,0.6264,sample_29_No_heat0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_29_No_heat_00020000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_29_No_heat_00030000-integrate_subtracted.dat,autorg_failed
7.38,12.57,0.3668,12.57,3.23152,2.624,0.06332,2.622,0.7023,sample_29_heating0000-integrate_subtracted.dat,ok
5.55,8.031,0.2926,8.031,1.00228,1.598,0.1274,1.596,0.5469,sample_29_heating_00020000-integrate_subtracted.dat,ok
,,,,,,,,,sample_2R3a0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_2R3b0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_2R3c0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_2R3f0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_2R3h0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_2R3k0000-integrate_subtracted.dat,autorg_failed
11.33,5.459,0.09072,5.459,2.55223,2.821,0.09906,2.817,0.6539,sample_2_10_00000-integrate_subtracted.dat,ok
59.78,428.2,5.713,428.1,16.0441,18.37,0.1942,18.23,0.7101,sample_2_10_100000-integrate_subtracted.dat,ok
,,,,,,,,,sample_2_10_20000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_2_10_200000-integrate_subtracted.dat,autorg_failed
54.74,404.1,3.886,404.0,15.4043,17.45,0.1139,17.31,0.6899,sample_2_10_300000-integrate_subtracted.dat,ok
,,,,,,,,,sample_2_10_50000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_2_10_500000-integrate_subtracted.dat,autorg_failed
88.97,469.9,26.35,469.9,15.3697,21.54,1.42,21.39,0.6707,sample_2_10_600000-integrate_subtracted.dat,ok
17.75,7.357,0.2151,7.357,2.95133,4.011,0.3745,3.995,0.6218,sample_2_2_00000-integrate_subtracted.dat,ok
85.39,468.7,19.24,468.7,15.1799,21.28,0.9576,21.14,0.6662,sample_2_2_100000-integrate_subtracted.dat,ok
69.67,421.0,14.1,421.0,14.5209,19.93,0.6822,19.77,0.7219,sample_2_2_20000-integrate_subtracted.dat,ok
54.77,398.5,3.247,398.4,14.8887,17.15,0.1081,17.0,0.6614,sample_2_2_200000-integrate_subtracted.dat,ok
,,,,,,,,,sample_2_2_300000-integrate_subtracted.dat,autorg_failed
66.48,383.7,10.21,383.7,15.7307,18.74,0.4869,18.62,0.703,sample_2_2_50000-integrate_subtracted.dat,ok
75.36,501.4,16.64,501.3,15.071,20.64,0.5834,20.47,0.684,sample_2_2_500000-integrate_subtracted.dat,ok
59.41,433.8,5.008,433.8,14.7985,18.07,0.1542,17.93,0.6728,sample_2_2_600000-integrate_subtracted.dat,ok
12.85,6.864,0.1669,6.864,2.71453,3.305,0.1859,3.298,0.5671,sample_2_5_00000-integrate_subtracted.dat,ok
59.13,412.6,6.142,412.6,15.3534,18.02,0.1989,17.88,0.7049,sample_2_5_100000-integrate_subtracted.dat,ok
76.06,504.9,18.05,504.8,15.8536,20.72,0.6672,20.55,0.717,sample_2_5_20000-integrate_subtracted.dat,ok
54.93,400.3,4.907,400.2,16.5364,17.17,0.171,17.02,0.6987,sample_2_5_200000-integrate_subtracted.dat,ok
56.38,410.4,6.256,410.4,15.5138,17.53,0.2019,17.41,0.7037,sample_2_5_300000-integrate_subtracted.dat,ok
47.81,345.8,3.171,345.8,16.087,15.33,0.09936,15.21,0.7032,sample_2_5_50000-integrate_subtracted.dat,ok
,,,,,,,,,sample_2_5_500000-integrate_subtracted.dat,autorg_failed
76.58,499.0,14.48,498.9,16.5569,20.71,0.5428,20.53,0.6993,sample_2_5_600000-integrate_subtracted.dat,ok
12.26,28.12,0.3218,28.12,2.29703,5.698,0.02699,5.703,0.1919,sample_2_Tau_8PEG_0NaCl0000-integrate_subtracted.dat,ok
7.52,0.03449,0.0001077,0.03244,1.34677,5.104,0.004688,6.035,0.2957,sample_2j0000-integrate_subtracted.dat,ok
61.26,29.52,9.365,29.52,12.5326,18.27,4.477,18.28,0.6321,sample_30000-integrate_subtracted.dat,ok
,,,,,,,,,sample_30min0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_3_CDN_10000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_3_CDN_100000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_3_EtOAc0000-integrate_subtracted.dat,autorg_failed
,,,,,,,,,sample_3_Ethanol0000-integrate_subtracted.dat,autorg_failed
43.88,69.82,4.094,69.83,7.6179,18.91,0.2751,19.0,0.5218,sample_3_IPA0000-integrate_subtracted.dat,ok
41.81,225.4,2.58,225.4,12.9612,13.45,0.1296,13.35,0.782,sample_3_Tau_0PEG_500NaCl0000-integrate_subtracted.dat,ok
,,,,,,,,,sample_3_Tol0000-integrate_subtracted.dat,autorg_failed
75.7,52.04,11.34,52.03,16.7983,23.37,4.243,23.21,0.6301,sample_3i_N0000-integrate_subtracted.dat,ok
