Dmax_est,Dmax_true,Rg_guinier,Rg_true,dmax_over_rg,in_window,method,nchannel_max,noise,params,rel_err,rg_gui_err,seed,shape,time_ms,x_converged,x_nmax,x_nsol,x_rg_nn,x_sigma
4.342080432282934,4.0,1.549451801694862,1.54919333851277,2.581988897421939,True,shannon,5,0.0,,0.08552010807073351,0.00016683726663839715,0,sphere,22.58448700013105,True,5,3,,0.01497803408305165
4.339290541174272,4.0,1.549451801694862,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.0,,0.08482263529356793,0.00016683726663839715,0,sphere,18.789533998642582,True,5,2,,0.012393546708102221
5.0188990258838,4.0,1.549451801694862,1.54919333851277,2.581988897421939,True,dnn,5,0.0,,0.25472475647095005,0.00016683726663839715,0,sphere,0.23348800459643826,,,,1.5232269222122485,
4.648355405084586,4.0,1.549451801694862,1.54919333851277,2.581988897421939,True,three_rg,5,0.0,,0.16208885127114647,0.00016683726663839715,0,sphere,0.0018280043150298297,,,,,
5.487183117385608,4.0,1.5889526401695837,1.54919333851277,2.581988897421939,True,shannon,5,0.02,,0.37179577934640196,0.025664518861785623,0,sphere,18.11558699409943,True,6,3,,0.0
4.705287467397915,4.0,1.5889526401695837,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.02,,0.17632186684947881,0.025664518861785623,0,sphere,16.857487004017457,True,5,4,,0.017428425058269248
5.0205629234176845,4.0,1.5889526401695837,1.54919333851277,2.581988897421939,True,dnn,5,0.02,,0.2551407308544211,0.025664518861785623,0,sphere,0.20264899649191648,,,,1.5234014279710055,
4.766857920508751,4.0,1.5889526401695837,1.54919333851277,2.581988897421939,True,three_rg,5,0.02,,0.19171448012718773,0.025664518861785623,0,sphere,0.0015789992175996304,,,,,
4.814178146660359,4.0,1.5856976767655901,1.54919333851277,2.581988897421939,True,shannon,5,0.02,,0.20354453666508965,0.0235634490191291,1,sphere,18.545378996350337,False,6,0,,0.6723358149486316
4.340065137843528,4.0,1.5856976767655901,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.02,,0.08501628446088194,0.0235634490191291,1,sphere,18.49397899786709,True,5,2,,0.011618950038846165
5.018672890519657,4.0,1.5856976767655901,1.54919333851277,2.581988897421939,True,dnn,5,0.02,,0.2546682226299142,0.0235634490191291,1,sphere,0.2440410025883466,,,,1.52327126406698,
4.757093030296771,4.0,1.5856976767655901,1.54919333851277,2.581988897421939,True,three_rg,5,0.02,,0.18927325757419267,0.0235634490191291,1,sphere,0.001749001967255026,,,,,
5.459076206526127,4.0,1.5999637182080801,1.54919333851277,2.581988897421939,True,shannon,5,0.02,,0.36476905163153184,0.032772139172796706,2,sphere,18.194352996943053,True,6,1,,0.009599782309249516
4.318634629994101,4.0,1.5999637182080801,1.54919333851277,2.581988897421939,True,shannon_ex,5,0.02,,0.07965865749852519,0.032772139172796706,2,sphere,17.105605998949613,True,5,3,,0.0005163977795041852
5.019428719301637,4.0,1.5999637182080801,1.54919333851277,2.581988897421939,True,dnn,5,0.02,,0.25485717982540934,0.032772139172796706,2,sphere,0.20263199985492975,,,,1.523338702023648,
4.79989115462424,4.0,1.5999637182080801,1.54919333851277,2.581988897421939,True,three_rg,5,0.02,,0.19997278865606005,0.032772139172796706,2,sphere,0.0011400043149478734,,,,,
5.464633409517397,4.0,1.5929222064887976,1.54919333851277,2.581988897421939,True,shannon,5,0.05,,0.36615835237934924,0.028226862902733185,0,sphere,17.59142699302174,True,6,7,,0.006371688825955513
