Dmax_bift,Dmax_bift_err,I0_gui,Rg_bift,Rg_dnn,Rg_gui,chi2,dmax_over_rg,dnn,file,knee,logP,qmin_Rg,shannon,three_rg
4.81,0.01,0.006463502656043674,1.84,12.917139050427005,1.1414193617743271,5.11,2.6141304347826084,47.68622267120817,00010000-integrate_subtracted.dat,2.328909262538281,-2399.12,0.15669948562504962,2.8993954154670836,3.4242580853229816
20.47,0.33,0.09628975269508845,5.35,5.076861770030181,5.117352172953906,1.06,3.8261682242990656,21.062517437252847,00020000-integrate_subtracted.dat,17.764836894887935,-516.32,0.4556207870076171,16.383202981712117,15.352056518861717
24.23,1.54,0.012715232157087192,9.86,15.269234440579028,7.907515805007189,1.02,2.457403651115619,55.3330474906296,00030000-integrate_subtracted.dat,10.907627301426915,-477.8,0.839704852316842,19.958569891838142,23.722547415021566
19.41,0.33,23.0361774785069,6.5,6.617977262204172,6.8515755966144045,1.22,2.9861538461538464,19.316527680069953,00170000-integrate_subtracted.dat,12.995212144708553,-583.31,0.29043961591973166,21.609869431722206,20.554726789843215
1.83,0.16,2.284266795429587,0.13,1.9697037334083771,14.502800498065834,1.09,14.076923076923077,6.155695622379454,buffer_after_DHX9dG_ATP_U10_050000-integrate_subtracted.dat,20.00516300703201,-499.52,0.007100959627827433,37.987668771266954,43.5084014941975
1.63,0.0,24.81117569469105,0.2,1.4743250858798775,1.3539269582024525,3.38,8.149999999999999,5.300508878259477,buffer_after_DHX9dG_apo_20000-integrate_subtracted.dat,1.8676068461444628,-1550.77,0.010924553273580667,3.583844658361877,4.061780874607358
12.11,0.21,53.77622034792549,3.0,2.653697113792923,2.7575476013943416,0.71,4.036666666666666,9.620509029958924,sample_10000-integrate_subtracted.dat,7.258844216268412,-335.28,0.25548829177997223,9.586614236247437,8.272642804183025
12.5,0.19,0.005353066660446876,3.65,11.412191247044202,2.950423601727172,0.77,3.4246575342465753,42.5632042900207,sample_1000000-integrate_subtracted.dat,5.850358079569786,-366.95,0.3108065204401556,8.152020411572199,8.851270805181516
6.74,0.18,0.005384261758891887,2.11,14.120942584160435,1.7802473394844491,0.97,3.194312796208531,44.6237606679834,sample_1010000-integrate_subtracted.dat,2.946807816101826,-455.69,0.17967171455581596,5.540129720475676,5.340742018453348
6.83,0.12,0.00440715816169943,2.23,14.316677572673576,1.7946841424706321,0.93,3.062780269058296,44.98204683643859,sample_1020000-integrate_subtracted.dat,2.5477919358859387,-437.04,0.18989001111823206,5.857849041024062,5.384052427411897
